poetID,value,value,sourceNpv,sourceNpv,ccy,maturityDate,ttm,maID,gpName,notional
10093573,0.005085372152428844,0.005853816051351698,-667193.7816,-665464.7036,EUR,2018-07-02,3.006160,DRV-21037772-06,VRBWESTMUCOE,5000000.0000
10099791,0.07361636932836825,0.11714046512870101,60300.2203,60300.4380,EUR,2015-07-03,0.008213,DRV-20000124-00,SKBKARLSRUHE,2000000.0000
10100725,11692.897035280366,12066.175876320562,407982.7783,442982.9665,EUR,2019-06-28,3.994524,DRV-21041844-05,SPREEVBLBES,4345268.6100
10106619,24874.42356878095,23361.806573127767,1874622.4386,1870776.8631,EUR,2039-07-06,24.016427,DRV-10000296-00,VBNAHESCHAUM,3500000.0000
10106636,412.78064638787697,429.28993637132385,-1361884.4304,-1353125.6793,EUR,2029-07-06,14.017796,DRV-10000296-00,VBNAHESCHAUM,3500000.0000
10106744,10.51693782891322,10.589462035141663,9297.6064,18420.5781,EUR,2015-12-31,0.503764,10106744,SPRINTTABLN,714285.7700
10118670,823.0498751951163,800.7600079207148,1288417.5823,1281034.6519,EUR,2019-06-10,3.945242,DRV-00005223-00,BABEAMBKKARL,10000000.0000
10119097,853.9197575835102,840.5095563569342,1307317.3374,1301069.9242,EUR,2019-07-08,4.021902,DRV-21037772-06,VRBWESTMUCOE,8000000.0000
10120894,1785.0023426102568,1784.3817202553762,71079.5053,72762.6683,EUR,2019-06-28,3.994524,DRV-22060696-09,DESSGRUNDNBG,613633.9300
10120920,68289.71275386271,64799.96598166194,19699948.3023,19572450.1346,EUR,2028-07-14,13.040383,10120920,BREMENSTADT,50000000.0000
10122959,2735.1548066166147,2787.965018715058,98959.5712,105033.3947,EUR,2019-06-28,3.994524,DRV-22060550-09,ZIMMERMIMEBE,700000.0000
10123531,3025.00598682214,3104.2770176184913,118663.4552,127523.7232,EUR,2019-06-28,3.994524,DRV-22060550-09,ZIMMERMIMEBE,1012500.0000
10129401,7682.368645157179,6961.314704226609,1179996.9669,1157893.9511,EUR,2025-01-10,9.533196,DRV-21060199-96,HANNOVSTADTW,10000000.0000
10133145,1267.4326640493332,1280.3584383872403,2326106.9117,2325321.5054,EUR,2016-07-18,1.051334,DRV-20019157-05,BOEHRINGELHM,50000000.0000
10134960,286.2557415640377,280.36357530793225,413603.8718,411584.9183,EUR,2019-07-15,4.041067,DRV-20019902-11,VRFREISING,2500000.0000
10148608,440721.9118748395,413093.53375630756,25643029.6466,25589758.5001,EUR,2039-07-15,24.041067,DRV-10000326-95,EVKRGENKAS,50000000.0000
10150247,927.671472053005,1018.5732825480102,109475.1944,127682.3622,EUR,2018-06-29,2.997946,DRV-22096247-09,HAHNCNCTCAIC,1912500.0000
10152313,1150.4024589206376,1122.522000645169,961200.6205,950011.0443,EUR,2020-12-31,5.505817,DRV-21038036-07,VBLUEBBECKLD,5000000.0000
10154997,582.4307821979456,572.5204313543551,834556.3435,830593.8673,EUR,2019-07-17,4.046543,DRV-10000040-03,VBBUDENHEIM,5000000.0000
10155026,1219.1219455497858,1227.819619685436,460739.6536,460448.6206,EUR,2016-07-20,1.056810,DRV-21040911-04,LOHMANNCOVIS,10000000.0000
10157146,0.0,0.0,0.0000,0.0000,EUR,2016-07-20,1.056810,DRV-21040911-04,LOHMANNCOVIS,0.0000
10158854,2542.2225629858362,2391.391977342518,1374472.5923,1362485.3736,EUR,2023-12-20,8.473648,DRV-00005223-00,BABEAMBKKARL,5000000.0000
10168537,556.9759580795575,579.3634179064368,25849.8566,28787.0794,EUR,2019-06-28,3.994524,DRV-22062109-09,EUBASCHROBEN,337500.0000
10172368,223.4651528057811,233.67426850253662,368799.2839,395457.6768,EUR,2019-12-30,4.501026,DRV-20000264-00,VBPIRMASENS,3240000.0000
10177910,16.307566953261997,17.466708364566202,42682.3521,48087.7205,EUR,2019-06-28,3.994524,DRV-20009496-00,VBLUDWIGSBUR,600000.0000
10180442,5.823288640898773,5.948669659521613,10427.8765,10427.9268,EUR,2015-10-01,0.254620,DRV-22059093-09,POPPINGAWIT,832000.0000
10188925,4174.9643380026955,4051.322109265452,3226755.5149,3204797.7042,EUR,2021-07-28,6.078028,DRV-20000194-00,VBBADENBADEN,14000000.0000
10189921,1098.244085581354,1067.1086310271087,1686028.0158,1677957.1654,EUR,2019-07-29,4.079397,DRV-00005223-00,BABEAMBKKARL,10000000.0000
10190646,418.5196671390114,439.66260667062664,664236.0563,840860.2835,EUR,2019-06-28,3.994524,DRV-20009375-03,VBBRACKENHM,5000000.0000
10192790,505.9932238951051,469.4436263476629,855947.5656,851908.1732,EUR,2019-07-29,4.079397,DRV-20019006-05,SPARBKREG,5000000.0000
10192834,993.4284932912786,1174.235076760849,1216626.8891,1209178.8799,EUR,2020-07-29,5.081451,DRV-20019006-05,SPARBKREG,6000000.0000
10192861,1789.6303256175845,2076.4574570175296,1298090.4385,1288646.4564,EUR,2022-07-29,7.080082,DRV-20019006-05,SPARBKREG,5000000.0000
10198102,1094.5666337870846,1063.4706910146804,1680012.1064,1671934.1536,EUR,2019-07-30,4.082135,DRV-00005223-00,BABEAMBKKARL,10000000.0000
10201413,1139.9671698134107,1116.6392211026352,1660043.0918,1651960.1493,EUR,2019-07-31,4.084873,DRV-10008733-01,PSDBKFFM,10000000.0000
10212662,1161.103301345568,1168.4243335288438,392600.4816,406762.6890,EUR,2020-01-31,4.588637,DRV-22016779-08,IMMOCONGSN,5405000.0000
10212833,815.7937257120155,794.0258120392909,1284948.2776,1277971.0732,EUR,2019-05-06,3.849418,DRV-00005223-00,BABEAMBKKARL,10000000.0000
10213277,3768.292346635514,3839.5781516132984,136529.4971,144904.1289,EUR,2019-06-28,3.994524,DRV-22060497-09,REGOPFK,1000000.0000
10214123,69.79319703399136,72.42583722204024,15460.6425,15453.1917,EUR,2015-12-01,0.421629,DRV-22061492-09,KIESELBAUESS,800000.0000
10217969,0.0,0.0,-639627.5424,-638002.3890,EUR,2017-03-30,1.749486,DRV-20021742-97,VBBONN,10000000.0000
10220091,74421.86968319412,69793.84070085325,22244148.3920,22193394.5666,EUR,2019-08-03,4.093086,DRV-15012659-09,HHWOHNBAUHBG,43000000.0000
10220168,45767.0488120065,42941.17370425895,15177036.6355,15137188.6872,EUR,2019-08-03,4.093086,DRV-15012659-09,HHWOHNBAUHBG,30000000.0000
10222159,54561.92928457954,51344.92384958391,26091392.2637,25993898.7881,EUR,2019-08-04,4.095824,DRV-15012659-09,HHWOHNBAUHBG,53000000.0000
10222298,47744.46381057098,44970.38386504673,25547200.8053,25441262.3175,EUR,2034-07-17,19.047227,DRV-15012659-09,HHWOHNBAUHBG,53000000.0000
10224419,339.6775937840786,333.88783239290785,485855.7644,483411.9684,EUR,2019-08-06,4.101300,DRV-15012875-95,RVISEN,3000000.0000
10227542,819.7662180799774,847.7507669622976,25345.6491,25325.2786,EUR,2016-08-15,1.127994,DRV-22056540-09,CRATHSRUD,500000.0000
10236872,314.1046259458161,311.4621028329333,663411.0287,661281.6346,EUR,2018-08-13,3.121149,DRV-15012946-03,RBUMGALTUSRI,5000000.0000
10242029,19.166978552858968,19.05980261054092,318355.5179,318355.7630,EUR,2015-11-12,0.369609,DRV-00005223-00,BABEAMBKKARL,10000000.0000
10242494,1432.2785983434035,1404.243371389444,2493855.9639,2481518.3415,EUR,2019-08-12,4.117727,DRV-10000064-99,VBDREIEICH,15000000.0000
10245361,797.3485914303054,787.5301410115038,30918.5899,30782.6926,EUR,2019-08-26,4.156057,DRV-22061868-09,BRAUMAXLRAV,231250.0000
10245429,279.95209215027745,277.45595614459944,13688.4983,13644.9751,EUR,2019-08-26,4.156057,DRV-22061868-09,BRAUMAXLRAV,159375.0000
10245976,1860.1571823252903,1849.6720873680354,898571.6268,890561.8757,EUR,2024-09-02,9.177275,DRV-20016343-94,VRWUERZBURG,3600183.3333
10247560,328.3840034171944,325.11713878727465,16082.7133,16024.1177,EUR,2019-09-02,4.175222,DRV-22061867-09,WEISSKUNILL,212500.0000
10247580,71.73169450219521,71.64538103180017,5764.9674,5756.1550,EUR,2017-09-01,2.173853,DRV-22061867-09,WEISSKUNILL,140625.0000
10263339,35941.42499875917,33679.687075190144,2473705.3353,2468553.2274,EUR,2039-08-19,24.136892,DRV-20000249-04,RBMITTELHAAR,5000000.0000
10263380,738.9645598401539,770.8910597028975,-1834097.0850,-1821745.6599,EUR,2029-08-20,14.140999,DRV-20000249-04,RBMITTELHAAR,5000000.0000
10269460,9.440556006267965,9.489771756732686,14937.9607,24752.3895,EUR,2016-03-31,0.752908,DRV-22067772-09,EDEKAMHSTMIN,1175000.0000
10270204,512.8951460915764,499.9494358217878,761880.8298,757862.8757,EUR,2019-08-20,4.139630,DRV-15013757-09,VBGOETTINGEN,5000000.0000
10270289,4822.532339393144,4974.096687608957,201289.9429,217473.6102,EUR,2019-02-28,3.665982,DRV-22062110-09,REICHELTOGRU,2040000.0000
10270326,4950.187789212544,5105.7641283441,206618.1927,223230.2837,EUR,2019-02-28,3.665982,DRV-22062111-09,PLANBAU3MIN,2094000.0000
10270335,1935.607875126162,1873.317107103583,1506842.4842,1495804.0266,EUR,2021-08-20,6.140999,DRV-20000194-00,VBBADENBADEN,7000000.0000
10271080,1088.7272442920628,1076.977697775653,52822.9530,52614.5385,EUR,2019-08-30,4.167008,DRV-22062168-09,RETEKIHLOW,722468.0600
