runID,calcID,calcSubID,useGpu,productType,environment,model,hdbDate,version,state,filename,arg1,poetID,hostname,uname,timeout,cost,restartCnt,startTS,updateTS,cpuSeconds
3581642,8,0,false,,Standard,CMSBond / InterestRateAnalytic,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap14_22469_20150709222223_001_00000008.txt,poetdrvr,58726,dfriasiexp277,xnmiex3,20000,600,1,2015-07-09 22:23:21.283,2015-07-09 22:23:37.08,13.71
3581641,39,0,false,,Standard,MultiSwap / 5FLiborMarketSmile,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap17_18028_20150709222249_001_00000039.txt,poetdrvr,19761392,dfhiasiexp232,xnmiex13,20000,600,1,2015-07-09 22:23:21.283,2015-07-09 22:26:24.696,152.30
3581642,9,0,false,,Standard,CMSBond / InterestRateAnalytic,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap14_22469_20150709222223_001_00000009.txt,poetdrvr,116035,dfriasiexp207,xnmiex15,20000,600,1,2015-07-09 22:23:21.286,2015-07-09 22:23:48.306,24.74
3581641,40,0,false,,Standard,MultiSwap / 5FLiborMarketSmile,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap17_18028_20150709222249_001_00000040.txt,poetdrvr,19761944,dfriasiexp413,xnmiex5,20000,600,1,2015-07-09 22:23:21.29,2015-07-09 22:27:36.586,224.13
3581642,10,0,false,,Standard,CMSBond / InterestRateAnalytic,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap14_22469_20150709222223_001_00000010.txt,poetdrvr,115931,dfriasiexp271,xnmiex15,20000,600,1,2015-07-09 22:23:21.293,2015-07-09 22:23:46.37,22.62
3581654,19,0,false,,Standard,MultiSwap / 5FLiborMarketSmile,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap16_5802_20150709222321_001_00000019.txt,poetdrvr,18942067,dfriasiexp275,xnmiex2,20000,600,1,2015-07-09 22:24:23.053,2015-07-09 22:27:47.32,184.95
3581641,41,0,false,,Standard,MultiSwap / 5FLiborMarketSmile,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap17_18028_20150709222249_001_00000041.txt,poetdrvr,19767704,dfhiasiexp226,xnmiex9,20000,600,1,2015-07-09 22:23:21.293,2015-07-09 22:29:28.163,335.74
3581641,42,0,false,,Standard,MultiSwap / 5FLiborMarketSmile,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap17_18028_20150709222249_001_00000042.txt,poetdrvr,19794922,dfhiasiexp328,xnmiex10,20000,600,1,2015-07-09 22:23:21.303,2015-07-09 22:37:27.19,814.37
3581641,43,0,false,,Standard,MultiSwap / 5FLiborMarketSmile,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap17_18028_20150709222249_001_00000043.txt,poetdrvr,19800759,dfhiasiexp214,xnmiex16,20000,600,1,2015-07-09 22:23:21.306,2015-07-09 22:27:18.053,205.22
3581641,44,0,false,,Standard,MultiSwap / 5FLiborMarketSmile,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap17_18028_20150709222249_001_00000044.txt,poetdrvr,19804187,dfhiasiexp250,xnmiex12,20000,600,1,2015-07-09 22:23:21.313,2015-07-09 22:27:50.066,237.12
3581641,45,0,false,,Standard,MultiZeroSwap / 5FLiborMarketSmile,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap17_18028_20150709222249_001_00000045.txt,poetdrvr,19817716,dfriasiexp265,xnmiex13,20000,600,1,2015-07-09 22:23:21.323,2015-07-09 22:36:44.716,771.62
3581641,46,0,false,,Standard,MultiSwap / 5FLiborMarketSmile,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap17_18028_20150709222249_001_00000046.txt,poetdrvr,19827322,dfriasiexp285,xnmiex14,20000,600,1,2015-07-09 22:23:21.333,2015-07-09 22:28:35.203,282.14
3581641,47,0,false,,Standard,MultiSwap / 5FLiborMarketSmile,,d50f044,done,mxpgi_tmx_fo24_EOD1_dfrvtmxap17_18028_20150709222249_001_00000047.txt,poetdrvr,19831797,dfriasiexp245,xnmiex4,20000,600,1,2015-07-09 22:23:21.336,2015-07-09 22:28:11.143,258.01
3582736,1305,0,false,PlainSwap,Interest,LiborCVADisplaced,2015-07-07 00:00:00.0,,unpriced,,,O:18333076,dfhiasiexp204,xnmiex10,20000,0,1,2015-07-10 02:46:28.33,2015-07-10 03:24:41.24,0.55
3585076,1,0,false,PlainSwap,Interest,PortSimReal,2015-07-09 00:00:00.0,,done,,,O:1375792,dfriasiexp239,xnmiex14,20000,360,1,2015-07-13 00:28:36.413,2015-07-13 00:29:07.5,12.60
